"source_path","source_root","source_state","category","copied","notes"
".agents/skills/emil-design-eng/SKILL.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/frontend-design/LICENSE.txt","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/frontend-design/SKILL.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/SKILL.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/agents/impeccable_asset_producer.toml","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/agents/impeccable_documenter.toml","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/agents/impeccable_finish_reviewer.toml","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/agents/impeccable_manual_edit_applier.toml","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/agents/openai.yaml","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/adapt.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/adapt.native.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/android.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/animate.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/audit.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/audit.native.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/bolder.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/clarify.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/colorize.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/craft-floor.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/craft.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/critique.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/degraded/asset-producer.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/degraded/documenter.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/degraded/finish-reviewer.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/degraded/manual-edit-applier.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/delight.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/distill.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/doctor.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/document.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/extract.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/harden.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/hooks.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/init.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/ios.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/layout.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/live-setup.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/live.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/new-work.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/onboard.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/operate.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/optimize.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/overdrive.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/polish.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/quieter.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/routing.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/shape.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/typeset.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/reference/visualize.md","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/scripts/command-metadata.json","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
".agents/skills/impeccable/scripts/concept-seed.mjs","canonical","user_added_canonical","tooling","user_added","User-confirmed canonical tooling addition on 2026-07-30"
